Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Call-50,Check,Check,Check,Fold,Fold,Fold,Call-50,Call-175,Fold,Fold,Raise-250,Raise-100,Raise-650,Check,Check,Check,Call-50,Raise-350,Bet-400,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Raise-1250,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Check,Check,Raise-100,Call-275,Check,Fold,Raise-100,Call-250,Check,Check,Check,Raise-100,Call-150,Check,Bet-150,Call-50,Check,Fold,Fold,Call-50,Call-175,Call-200,Fold,Call-50,Check,Check,Check,Call-50,Fold,Fold,0.4,0.5
Raise-300,Check,Check,Check,Call-50,Raise-200,Check,Check,Fold,Check,Check,Fold,Fold,Fold,Call-50,Call-175,Fold,Fold,All in,Fold,Call-50,Check,Check,Check,Fold,Fold,Check,Check,Check,Check,0.75,0.5
Check,Check,Check,Call-50,Check,Bet-100,Raise-100,Call-50,Check,Check,Check,All in,Fold,Raise-100,Call-50,Check,Check,Check,Call-50,Fold,Raise-100,Raise-550,Check,Check,Check,Call-50,Bet-50,Call-50,Check,Check,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Fold,Fold,Fold,Call-50,Fold,0.9,0.1
Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Fold,Fold,Fold,Fold,Raise-200,Fold,Call-50,Raise-200,Call-425,Check,Check,Check,Fold,Fold,Fold,Call-50,Bet-50,Fold,Call-50,Bet-50,Raise-400,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,0.75,0.5
Fold,Raise-150,Call-25,Check,Fold,Raise-100,Fold,Fold,Fold,Fold,Call-25,Fold,Call-50,Check,Check,Check,Raise-100,Raise-100,Call-25,Call-50,Check,Fold,Call-50,Check,Check,Check,Call-50,Fold,Call-150,Check,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Check,Check,Bet-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-200,Fold,Fold,Check,Check,Fold,Fold,0.9,0.1
Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Call-200,Check,Fold,Fold,Fold,Check,Bet-50,Fold,Call-200,Fold,Fold,Call-50,Bet-50,Check,0.9,0.2
Fold,Fold,Call-50,Fold,Call-50,Fold,Fold,Call-150,Bet-300,Fold,Fold,Call-50,Bet-100,Call-50,Check,Check,Check,Call-150,Bet-150,Fold,Raise-100,Call-150,Check,Check,Check,Raise-100,Bet-100,Bet-150,Fold,Call-50,0.4,0.5
Call-50,Check,Check,Check,Call-150,Check,Check,Check,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,All in,Call-50,Raise-200,Check,Check,Check,Fold,Raise-600,0.75,0.5
Fold,Fold,Call-50,Fold,Call-50,Check,Check,Check,Raise-100,Call-50,Fold,Raise-100,Bet-100,Bet-250,Fold,Raise-100,Call-25,Check,Check,Check,Raise-100,Raise-100,Check,Check,Check,Fold,Call-50,Fold,Fold,Fold,0.4,0.5
Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Call-50,Call-175,Check,Check,Fold,Fold,Fold,Fold,Call-50,Check,Check,Check,Fold,Fold,Call-150,Bet-200,Raise-300,Fold,Fold,Call-50,Check,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Raise-600,0.9,0.2
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Raise-800,Fold,Fold,Fold,0.9,0.1
Fold,Fold,Call-25,Fold,Call-50,Fold,Fold,Raise-100,Fold,Fold,Call-50,Fold,Call-50,Fold,Fold,Raise-100,Check,Check,Fold,Fold,Raise-100,Call-50,Check,Fold,Call-50,Check,Bet-50,Check,Check,Fold,0.4,0.5
Check,Fold,Fold,Call-50,Call-200,Check,Check,Check,Fold,Fold,Fold,Raise-1250,Fold,Fold,Call-50,Bet-50,Call-25,Call-100,Check,Check,Bet-250,Fold,Fold,Fold,Check,Check,Check,Fold,Fold,Fold,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Fold,Fold,Fold,Fold,Fold,Check,Check,Bet-50,Fold,Fold,Fold,Fold,Call-150,Bet-200,Check,Check,Fold,Fold,Fold,Fold,Check,Check,0.9,0.2
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Bet-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,All in,Fold,Fold,Check,0.9,0.1
Fold,Call-50,Fold,Raise-100,Check,Check,Fold,Raise-100,Call-50,Fold,Call-50,Check,Fold,Call-50,Check,Fold,Call-25,Call-50,Check,Check,Check,Call-50,Check,Check,Check,Call-50,Fold,Fold,Call-50,Check,0.4,0.5
Raise-1250,Raise-1600,Fold,Call-50,Check,Check,Fold,Fold,Fold,Fold,Fold,Check,Check,Bet-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Call-50,Call-200,0.75,0.5
Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Check,Check,Bet-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,0.9,0.2
Check,Call-50,Check,Fold,Call-50,Check,Check,Check,Fold,Raise-100,Raise-750,Bet-1050,Raise-100,Call-50,Check,Check,Check,Fold,Fold,Fold,Call-50,Check,Check,Bet-100,Call-50,Check,Check,Check,Fold,Fold,0.4,0.5
Bet-600,Call-50,Raise-200,Call-600,Check,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Call-50,Check,Check,Check,Call-50,Check,Check,Check,Fold,Check,Check,Check,Check,Fold,Fold,Fold,0.75,0.5
Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Call-50,Fold,Fold,Fold,Raise-100,Raise-100,Fold,Call-50,Check,Check,Check,Fold,Fold,Raise-100,Call-50,Check,Check,Check,Call-50,Check,Check,Fold,Call-150,Check,Check,Check,Fold,Call-50,Check,Check,0.4,0.5
Fold,Fold,Fold,Call-50,Check,Check,Check,Check,Check,Check,Check,Fold,Fold,Fold,Call-50,Check,Check,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Check,Check,0.75,0.5
Fold,Fold,Raise-1250,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Raise-100,Fold,Call-25,Check,Check,Check,Call-50,Fold,Call-50,Fold,Fold,Call-150,Check,Check,Check,Fold,Raise-100,Fold,Call-50,Check,Check,Check,Call-50,Check,Check,Check,Call-25,Fold,Raise-100,Call-300,0.4,0.5
Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Raise-150,Fold,Fold,Fold,Raise-600,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,0.9,0.1
Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Call-50,Raise-350,Check,Check,Check,Call-50,Raise-600,Check,Fold,Raise-800,Fold,Fold,Fold,Fold,Raise-1250,Fold,Fold,Call-50,0.75,0.5
Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,0.9,0.2
Check,Check,Call-50,Fold,Raise-100,Fold,Call-25,Check,Check,Check,Call-50,Check,Check,Check,Call-50,Fold,Raise-100,Fold,Fold,Call-50,Check,Check,Check,Call-50,Check,Check,Check,Fold,Fold,Call-50,0.4,0.5
Check,Check,Fold,Fold,Fold,Fold,Fold,Check,Check,Fold,Fold,Call-50,Check,Check,Check,Call-50,Check,Check,Fold,Fold,Check,Check,Check,Check,Raise-100,Check,Check,Check,Fold,Fold,0.75,0.5
Call-50,Check,Check,Check,Fold,Fold,Call-25,Check,Check,Check,Call-50,Check,Check,Fold,Call-50,Check,Check,Fold,Call-50,Check,Check,Check,Call-75,Check,Check,Check,Fold,Call-50,Check,Check,0.4,0.5
Bet-850,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,All in,Fold,Fold,Call-50,Bet-50,Fold,Fold,Check,Check,Check,Bet-50,Fold,Fold,Fold,Fold,Check,Check,Check,Check,0.9,0.1
Check,Check,Fold,Fold,Call-150,Fold,Raise-300,Check,Check,Check,Call-400,Fold,Call-200,Fold,Call-50,Fold,Raise-200,Fold,Call-200,Fold,Call-400,Check,Check,Check,Call-150,Check,Check,Check,Call-50,Check,0.4,0.5
Fold,Raise-150,Raise-150,Fold,Raise-150,Call-150,Check,Check,Check,Raise-400,Bet-150,Raise-200,Bet-100,Fold,Call-25,Fold,Raise-200,Raise-200,Fold,Raise-400,Check,Check,Check,Raise-150,Check,Check,Check,Call-50,Check,Check,0.3,0.7
Fold,Fold,Raise-400,Check,Check,Check,Raise-150,Check,Check,Bet-400,Raise-150,Bet-350,Raise-150,Check,Check,Fold,Raise-150,Fold,Check,Check,Bet-50,Call-25,Check,Fold,Raise-150,Check,Check,Check,Call-50,Fold,0.3,0.7
Call-50,Fold,Call-50,Fold,Fold,Call-50,Call-100,Check,Check,Check,Fold,Call-100,Check,Fold,Fold,Fold,Call-50,Check,Fold,Call-50,Fold,Call-50,Call-100,Check,Check,Check,Call-50,Fold,Fold,Fold,0.4,0.5
Call-50,Fold,Call-50,Fold,Fold,Fold,Call-150,Fold,Call-150,Check,Bet-100,All in,Call-50,Check,Fold,Fold,Fold,Call-25,Fold,All in,Call-150,Check,Check,Check,Call-50,Call-50,Check,Check,Check,Call-50,0.4,0.2
Call-50,Fold,Raise-800,Fold,Fold,Fold,Fold,Call-150,Fold,Fold,Check,Bet-100,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Check,Fold,Fold,Fold,Fold,Call-50,Bet-50,Fold,Fold,Raise-250,Call-1000,0.75,0.5
Raise-300,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Call-50,Check,Fold,Fold,Fold,Call-50,Raise-1250,Call-1300,All in,Fold,Fold,0.9,0.1
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-1250,Fold,Call-150,Check,Check,Check,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Check,Check,Check,Call-50,Check,Fold,Call-50,Fold,Call-50,Fold,Call-50,Fold,Call-100,Bet-150,Call-25,Check,Fold,Call-150,Check,Fold,Fold,Call-50,Fold,Raise-100,Raise-550,Call-50,Fold,Check,Check,Check,0.4,0.5
Fold,Raise-150,Check,Check,Check,Fold,Check,Check,Check,Fold,Call-25,Bet-50,Raise-150,Fold,Fold,Raise-150,Fold,Fold,Raise-150,Check,Bet-50,Raise-200,Raise-100,Fold,Raise-200,Fold,Raise-150,Call-50,Check,Check,0.3,0.7
Bet-50,Fold,Call-100,Bet-150,Fold,Call-150,Fold,Call-50,Fold,Call-150,Check,Fold,Call-50,Fold,Call-50,Fold,Fold,Fold,Call-50,Check,Check,Check,Call-150,Fold,Call-50,Bet-50,Call-50,Check,Check,Bet-50,0.4,0.2
Raise-150,Check,Fold,Call-50,Check,Fold,Check,Check,Check,Check,Fold,Fold,Call-50,Check,Check,Check,Raise-200,Raise-2400,All in,Raise-250,Fold,Raise-250,Raise-250,Bet-200,Bet-350,Bet-450,Raise-1250,Call-25,Check,Check,0.3,0.7
Raise-100,Fold,Raise-400,Bet-400,Raise-400,Check,Fold,Raise-150,Bet-100,Bet-150,Fold,Call-50,Fold,Raise-150,Check,Fold,Check,Check,Fold,Fold,Raise-400,Fold,Raise-150,Fold,Fold,Raise-150,Bet-100,Call-150,Bet-200,Call-300,0.3,0.7
Fold,Fold,Fold,Call-400,Bet-500,Call-150,Call-100,Raise-500,Call-50,Call-75,Bet-50,Call-150,Bet-250,Call-50,Bet-50,Fold,Fold,Fold,All in,Call-150,Fold,Call-50,Check,Fold,Call-50,Check,Check,Check,Fold,Call-75,0.4,0.2
Call-50,Fold,Fold,Fold,Fold,Call-150,Fold,Fold,Fold,Call-50,Fold,Call-50,Fold,Fold,Call-125,Bet-200,Fold,Call-150,Raise-250,Raise-500,Raise-1500,Call-50,Check,Fold,Call-50,Check,Check,Check,Raise-100,Call-50,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Raise-100,Check,Fold,Call-150,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Bet-50,Fold,Fold,Fold,Fold,Raise-200,Bet-400,Fold,Fold,Fold,Call-50,Fold,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-1250,Bet-1650,Check,Check,Check,Bet-50,0.9,0.2
Fold,All in,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-600,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Fold,Fold,Check,Check,Check,Check,Fold,Raise-100,Fold,Raise-100,Check,Fold,Raise-100,Call-150,Fold,Fold,Raise-100,Fold,Fold,Call-25,Fold,Raise-400,Fold,Call-50,Fold,Fold,Raise-100,Bet-50,Raise-100,Fold,0.3,0.7
Fold,Call-100,Call-150,Fold,Raise-100,Raise-200,Raise-2400,All in,Call-50,Fold,Call-50,Fold,Fold,Call-25,Check,Check,Check,Fold,Call-50,Check,Check,Bet-50,Fold,Call-100,Call-100,Bet-450,Call-50,Bet-50,Call-50,Fold,0.4,0.5
Call-50,Call-50,Check,Check,Check,Call-50,Fold,Call-50,Fold,Fold,Fold,Call-250,Call-150,Call-200,Bet-400,Call-250,Check,Check,Check,Call-50,Fold,Call-50,Fold,Call-50,Call-50,Check,Fold,Fold,Fold,Call-250,0.4,0.2
Raise-100,Check,Check,Check,Call-200,Fold,Fold,Call-50,Fold,Call-50,Fold,Fold,Fold,Fold,Call-50,Fold,Raise-100,Bet-50,Call-50,Call-200,Check,Check,Fold,Call-50,Fold,Call-200,Bet-300,Call-25,Check,Check,0.4,0.5
Fold,Fold,Raise-400,Bet-200,Check,Check,Raise-150,Raise-150,Raise-1400,All in,Raise-250,Call-150,Fold,Raise-250,Check,Check,Check,Raise-1250,Fold,Call-100,Fold,Raise-250,Check,Bet-100,Raise-250,Raise-250,Fold,Fold,Fold,Fold,0.3,0.7
Call-75,Check,Check,Check,Fold,Call-200,Call-200,Check,Fold,Fold,Call-50,Raise-600,All in,Call-50,All in,Fold,Fold,Fold,Call-100,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Call-200,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-600,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Call-50,Fold,Fold,Fold,Fold,0.9,0.2
Raise-150,Bet-350,Raise-150,Fold,Check,Check,Check,Fold,Call-25,Check,Check,Fold,Raise-400,Fold,Call-200,Fold,Raise-150,Raise-150,Check,Check,Check,Raise-150,Check,Check,Check,Call-150,Bet-50,Check,Check,Call-25,0.3,0.7
Call-150,Fold,Raise-300,Fold,Call-50,Check,Bet-50,Fold,Call-350,Check,Check,Check,Fold,Fold,Call-150,Check,Check,Check,Call-150,Check,Check,Check,Call-50,Fold,Call-50,Bet-100,Call-100,Check,Check,Check,0.4,0.5
Fold,All in,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Call-50,Fold,Fold,Call-50,Call-100,Bet-100,Check,Bet-300,Check,Check,Check,Check,Fold,Call-150,Fold,Fold,Call-50,Check,0.4,0.2
Fold,Fold,Fold,Call-50,Check,Fold,Fold,Call-200,Call-200,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Call-100,Call-100,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-200,Fold,0.75,0.5
Fold,Fold,Fold,Check,Check,Bet-50,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Fold,Raise-150,Check,Check,Check,Raise-150,Fold,Call-50,Check,Check,Check,Raise-150,Call-150,Check,Fold,Raise-150,Bet-250,Raise-200,Fold,Raise-400,Fold,Call-50,Fold,Fold,Fold,Raise-150,Check,Check,Check,Raise-250,0.3,0.7
Fold,Raise-300,Bet-300,Call-150,Fold,Call-50,Fold,Call-50,Check,Check,Check,Fold,Call-25,Check,Fold,Call-200,Fold,Call-50,Check,Check,Check,Call-150,Check,Check,Check,Call-50,Fold,Call-50,Check,Check,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Bet-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Raise-150,Call-150,Check,Check,Check,Raise-150,Bet-100,Raise-150,Call-150,Bet-150,Fold,Fold,Raise-150,Check,Check,Fold,Raise-150,Fold,Fold,Raise-150,Fold,Raise-150,Check,Check,Check,Call-50,Bet-200,Call-25,Check,Fold,0.3,0.7
Call-50,Call-250,Check,Check,Check,Fold,Fold,Fold,Fold,Call-50,Call-100,Check,Check,Bet-250,Call-50,Call-100,Bet-100,Call-50,Check,Check,Bet-100,Fold,Fold,Fold,Call-50,Fold,Call-50,Fold,Fold,Call-50,0.4,0.2
Raise-300,Check,Check,Check,Call-150,Fold,Raise-300,Fold,Call-50,Fold,Fold,Call-150,Fold,Call-50,Check,Check,Fold,Raise-300,Check,Check,Bet-500,Fold,Raise-100,Fold,Check,Check,Fold,Fold,Fold,Call-150,0.4,0.5
Call-250,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Call-275,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-150,Check,Check,Check,Call-100,Fold,Call-50,Bet-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-125,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Fold,Call-100,Bet-200,Raise-100,Fold,Call-200,Check,Check,Check,Call-50,Fold,Call-50,Check,Check,Check,Call-50,Call-100,Check,Check,Fold,Call-50,Call-100,Check,Fold,Fold,Call-25,Fold,Call-50,Fold,Call-50,0.4,0.2
Raise-150,Fold,Raise-150,Check,Bet-100,Raise-150,Bet-300,Raise-150,Fold,Raise-600,Fold,Call-50,Fold,Fold,Raise-150,Check,Check,Fold,Raise-150,Bet-200,Raise-200,Bet-100,Raise-200,Raise-100,Raise-500,Raise-2600,All in,Raise-100,Fold,Fold,0.3,0.7
Fold,Call-150,Fold,Call-150,Fold,Call-50,Fold,Fold,Fold,Call-50,Check,Check,Check,Call-150,Check,Check,Fold,Call-150,Fold,Fold,Call-50,Fold,Fold,Fold,Fold,All in,Fold,Fold,Call-50,Check,0.4,0.5
All in,Call-50,Fold,Call-50,Call-50,Check,Fold,Raise-200,Fold,Call-25,Check,Check,Check,Call-50,Check,Check,Check,Call-50,Fold,Call-50,Call-50,Check,Bet-50,Call-50,Call-50,Check,Fold,Fold,Fold,Fold,0.4,0.2
Fold,Raise-100,Bet-50,Raise-100,All in,Check,Check,Check,Check,Call-25,Check,Check,Check,Fold,Raise-100,Check,Fold,Raise-100,Bet-50,Raise-100,Check,Check,Fold,Raise-100,Fold,Check,Check,Check,Check,Raise-150,0.3,0.7
Call-200,Fold,Fold,Call-50,Raise-200,Raise-1050,All in,Call-50,Raise-200,Fold,Fold,Fold,Call-100,Fold,Fold,Fold,Call-50,Fold,Fold,Call-75,Check,Fold,Fold,Fold,Fold,Call-50,Raise-450,Raise-4700,All in,Raise-2550,0.75,0.5
Call-50,Fold,Call-50,Fold,Call-100,Check,Fold,Fold,Call-50,Raise-1250,Check,Fold,Fold,Call-150,Raise-100,Fold,Call-50,Call-50,Check,Bet-50,Fold,Call-50,Fold,Fold,Fold,Fold,Call-100,Check,Check,Check,0.4,0.2
Call-50,Fold,Call-200,Check,Check,Check,Fold,Call-50,Fold,Fold,Fold,Fold,Raise-100,Fold,Fold,Call-50,Call-150,Check,Fold,Call-50,Fold,Fold,Fold,Call-100,Fold,Fold,Call-50,Fold,Call-50,Fold,0.4,0.5
Raise-600,Fold,Raise-150,Bet-50,Raise-150,Fold,Raise-150,Fold,Raise-150,Bet-50,Call-50,Bet-400,Fold,Fold,Raise-200,Bet-300,Raise-200,Call-5175,Raise-100,Check,Check,Check,Raise-100,Check,Fold,Call-25,Bet-50,Bet-50,Raise-100,Fold,0.3,0.7
Fold,Call-200,Check,Check,Check,Fold,Fold,Fold,Call-50,Raise-600,Fold,Call-75,Check,Check,Fold,Call-200,Bet-350,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Call-50,Raise-200,Check,Fold,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call-100,Raise-1200,All in,Fold,0.9,0.2
Bet-50,Fold,Call-50,Fold,All in,Fold,Call-100,Call-150,Bet-250,Call-100,Fold,Call-50,Check,Check,Check,Call-50,Check,Fold,Call-50,Raise-300,Raise-2250,All in,Fold,Raise-600,Call-100,Fold,All in,Call-50,Bet-100,Bet-400,0.4,0.2
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Bet-100,Raise-100,Fold,Raise-100,Fold,Call-50,Check,Check,Check,Check,Check,Fold,Call-75,Fold,Call-400,Fold,Raise-100,Fold,Raise-100,Fold,Raise-100,Fold,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,0.3,0.7
Raise-600,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Check,Bet-50,Bet-250,Fold,Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Call-7550,Fold,Fold,0.75,0.5
Check,Check,Bet-50,Call-25,Fold,Call-50,Fold,Call-50,Fold,Call-50,Check,Check,Check,Call-25,All in,Fold,Call-50,Check,Check,Check,All in,Call-150,Bet-150,Fold,Fold,Call-50,Fold,Fold,Call-50,Check,0.4,0.2
Fold,Raise-150,Fold,Raise-400,Check,Check,Bet-350,Raise-200,Fold,Raise-150,Fold,Raise-150,Check,Check,Check,Fold,Call-25,Check,Check,Check,Raise-150,Bet-100,Call-5062,Fold,Raise-100,Bet-200,Raise-100,Bet-50,Fold,Fold,0.3,0.7
Fold,Fold,Call-400,Check,Check,Fold,All in,Call-150,Fold,Fold,Call-50,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Call-100,Fold,Fold,Fold,Raise-100,Raise-300,Fold,Call-100,Check,Check,Raise-100,0.4,0.2
Raise-100,Call-50,Fold,Fold,Fold,Fold,Call-150,Check,Check,Check,All in,Fold,Call-50,Fold,All in,Fold,Fold,Call-100,Fold,Call-50,Fold,Call-50,Fold,Fold,Call-50,Call-50,Check,Check,Bet-50,Call-50,0.4,0.5
Fold,Fold,Fold,Call-4525,Call-150,Fold,Fold,Fold,Call-50,Check,Check,Check,Call-100,Check,Fold,Fold,Fold,Fold,Call-100,Fold,Fold,Call-50,All in,All in,Fold,Fold,Call-50,Call-50,Fold,Fold,0.75,0.5
Fold,Call-50,Raise-1250,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-400,Fold,All in,Fold,Call-50,Fold,0.9,0.1
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Call-300,Fold,Call-50,Bet-50,Bet-150,Call-100,Raise-1200,Check,Check,Bet-50,Raise-100,Check,Bet-50,Call-200,Fold,Call-50,Fold,All in,Call-50,Fold,Check,Bet-100,Fold,All in,Call-50,Check,Check,Check,Call-50,Fold,0.4,0.2
Bet-350,Fold,Raise-200,Fold,Call-50,Check,Fold,Call-50,Call-75,Check,Fold,Fold,Fold,Fold,Call-5150,Call-50,Fold,All in,Call-50,Fold,Check,Check,Check,Check,Fold,Call-300,Raise-100,Call-300,Fold,Call-50,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,All in,Call-50,Raise-350,All in,Fold,Fold,Fold,Call-50,Check,Check,Check,Call-50,Check,Fold,Fold,Call-125,Check,Check,Check,Fold,0.75,0.5
Fold,Raise-100,Check,Check,Check,Call-50,Bet-50,Call-50,Fold,Call-50,Check,Check,Check,Call-50,Check,Bet-50,Check,Check,Fold,Raise-150,Check,Check,Check,All in,Call-50,Fold,Call-50,Call-50,Bet-50,Raise-150,0.4,0.2
Fold,Raise-150,Check,Check,Bet-50,Raise-150,Raise-150,Fold,Raise-150,Check,Check,Check,Fold,Raise-150,Fold,Raise-100,Check,Bet-50,Call-25,Check,Fold,Raise-150,Check,Check,Check,Call-50,Check,Check,Check,All in,0.3,0.7
Fold,Call-50,Call-100,Check,Check,Check,Fold,Call-50,Fold,Call-50,Fold,Call-50,Fold,Raise-600,Call-25,Fold,Call-50,Bet-50,Call-50,Fold,Call-50,Check,Check,Check,Call-50,Fold,Call-50,Fold,Fold,Fold,0.4,0.5
