Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.2
Check,Check,Raise-100,Check,Check,Check,Raise-100,Call-25,Check,Check,Check,Raise-100,Raise-100,Call-100,Bet-200,Raise-100,Check,Check,Check,Check,Fold,Raise-100,Raise-100,Call-150,Check,Bet-100,Raise-100,Check,Check,Bet-50,0.3,0.7
Call-50,Fold,Check,Check,Check,Check,Fold,Raise-200,Fold,Fold,Call-50,Check,Check,Check,Fold,Fold,Call-100,Check,Check,Fold,Raise-100,Raise-550,Raise-3550,All in,Fold,Fold,Fold,Call-150,Fold,Call-50,0.4,0.5
Fold,Fold,Raise-1250,Bet-1500,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Raise-1600,All in,Raise-100,Raise-150,Raise-150,Raise-150,Bet-100,Fold,Fold,Raise-400,Check,Check,Check,Raise-150,Bet-100,Raise-150,Fold,Fold,Fold,Raise-400,Check,Bet-750,Raise-150,Check,Check,Fold,Raise-150,Check,Check,Check,0.3,0.7
Fold,Fold,Fold,Call-150,Fold,Call-50,Fold,Fold,Call-150,Check,Check,Fold,Call-150,Check,Check,Check,Call-50,Check,Check,Check,Fold,Call-150,Fold,Fold,Call-50,Check,Bet-100,Fold,Fold,Fold,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-600,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-2550,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,0.9,0.2
Check,Check,Check,Fold,Raise-150,Raise-150,Fold,Raise-150,Fold,Check,Check,Check,Fold,Fold,Raise-150,Fold,Raise-150,Call-50,Check,Check,Check,Call-50,Check,Bet-150,Fold,Raise-400,Check,Check,Check,Raise-150,0.3,0.7
Check,Check,Check,Raise-100,Check,Fold,Fold,Fold,Raise-300,Fold,Raise-300,Bet-250,Call-50,Call-100,Check,Check,Check,Fold,Fold,Fold,Call-150,Check,Check,Fold,Fold,Fold,Fold,Call-150,Call-200,Bet-400,0.4,0.5
Check,Check,Check,Fold,Fold,Fold,All in,Fold,Fold,Call-50,Raise-1250,Raise-2550,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise-1250,Fold,Fold,Fold,Fold,Fold,Fold,Fold,0.9,0.1
Bet-150,Raise-150,Call-150,Check,Fold,Raise-100,Check,Check,Check,Raise-200,Raise-150,Raise-150,Fold,Raise-150,Check,Check,Bet-100,Fold,Fold,Raise-400,Raise-250,Fold,Raise-150,Fold,Raise-150,Raise-700,Bet-700,Fold,Call-25,Fold,0.3,0.7
